class_id,rxcui,generic_name,rela,condition_name
D003967,2296,charcoal,may_treat,Diarrhea
D062787,2296,charcoal,may_treat,Drug Overdose
D005414,2296,charcoal,may_treat,Flatulence
D011041,2296,charcoal,may_treat,Poisoning
D014115,2296,charcoal,may_treat,Toxemia
D014511,2296,charcoal,may_treat,Uremia
D004342,2356,chlordiazepoxide,ci_with,Drug Hypersensitivity
D015812,2356,chlordiazepoxide,ci_with,"Glaucoma, Angle-Closure"
D009203,2356,chlordiazepoxide,ci_with,Myocardial Infarction
D011247,2356,chlordiazepoxide,ci_with,Pregnancy
D000430,2356,chlordiazepoxide,may_treat,Alcohol Withdrawal Delirium
D001008,2356,chlordiazepoxide,may_treat,Anxiety Disorders
D010300,2372,chlormethiazole,may_treat,Parkinson Disease
D011595,2372,chlormethiazole,may_treat,Psychomotor Agitation
D007319,2372,chlormethiazole,may_treat,Sleep Initiation and Maintenance Disorders
D013375,2372,chlormethiazole,may_treat,Substance Withdrawal Syndrome
D004342,2373,chlormezanone,ci_with,Drug Hypersensitivity
D001008,2373,chlormezanone,may_treat,Anxiety Disorders
D009128,2373,chlormezanone,may_treat,Muscle Spasticity
D003128,2403,chlorpromazine,ci_with,Coma
D004342,2403,chlorpromazine,ci_with,Drug Hypersensitivity
D001008,2403,chlorpromazine,may_treat,Anxiety Disorders
D019958,2403,chlorpromazine,may_treat,Attention Deficit and Disruptive Behavior Disorders
D002653,2403,chlorpromazine,may_treat,Child Behavior Disorders
D006606,2403,chlorpromazine,may_treat,Hiccup
D009325,2403,chlorpromazine,may_treat,Nausea
D017118,2403,chlorpromazine,may_treat,"Porphyria, Acute Intermittent"
D011618,2403,chlorpromazine,may_treat,Psychotic Disorders
D012559,2403,chlorpromazine,may_treat,Schizophrenia
D013742,2403,chlorpromazine,may_treat,Tetanus
D014839,2403,chlorpromazine,may_treat,Vomiting
D003128,2406,chlorprothixene,ci_with,Coma
D004342,2406,chlorprothixene,ci_with,Drug Hypersensitivity
D011618,2406,chlorprothixene,may_treat,Psychotic Disorders
D012563,2406,chlorprothixene,may_treat,"Schizophrenia, Paranoid"
D004342,2556,citalopram,ci_with,Drug Hypersensitivity
D000437,2556,citalopram,may_treat,Alcoholism
D003704,2556,citalopram,may_treat,Dementia
D003866,2556,citalopram,may_treat,Depressive Disorder
D003929,2556,citalopram,may_treat,Diabetic Neuropathies
D009771,2556,citalopram,may_treat,Obsessive-Compulsive Disorder
D014029,2556,citalopram,may_treat,Tobacco Use Disorder
D004342,2597,clomipramine,ci_with,Drug Hypersensitivity
D009203,2597,clomipramine,ci_with,Myocardial Infarction
D003866,2597,clomipramine,may_treat,Depressive Disorder
D009771,2597,clomipramine,may_treat,Obsessive-Compulsive Disorder
D010146,2597,clomipramine,may_treat,Pain
D016584,2597,clomipramine,may_treat,Panic Disorder
D004342,2598,clonazepam,ci_with,Drug Hypersensitivity
D015812,2598,clonazepam,ci_with,"Glaucoma, Angle-Closure"
D008107,2598,clonazepam,ci_with,Liver Diseases
D011247,2598,clonazepam,ci_with,Pregnancy
D001714,2598,clonazepam,may_treat,Bipolar Disorder
D004401,2598,clonazepam,may_treat,Dysarthria
D004831,2598,clonazepam,may_treat,"Epilepsies, Myoclonic"
D004832,2598,clonazepam,may_treat,"Epilepsy, Absence"
D065768,2598,clonazepam,may_treat,Lennox Gastaut Syndrome
D009437,2598,clonazepam,may_treat,Neuralgia
D016584,2598,clonazepam,may_treat,Panic Disorder
D012148,2598,clonazepam,may_treat,Restless Legs Syndrome
D012559,2598,clonazepam,may_treat,Schizophrenia
D012640,2598,clonazepam,may_treat,Seizures
D013981,2598,clonazepam,may_treat,Tic Disorders
D004342,2599,clonidine,ci_with,Drug Hypersensitivity
D006474,2599,clonidine,ci_with,Hemorrhagic Disorders
D007239,2599,clonidine,ci_with,Infections
D020268,2599,clonidine,may_treat,"Alcohol-Induced Disorders, Nervous System"
D001289,2599,clonidine,may_treat,Attention Deficit Disorder with Hyperactivity
D003967,2599,clonidine,may_treat,Diarrhea
D004412,2599,clonidine,may_treat,Dysmenorrhea
D005901,2599,clonidine,may_treat,Glaucoma
D019584,2599,clonidine,may_treat,Hot Flashes
D006973,2599,clonidine,may_treat,Hypertension
D010148,2599,clonidine,may_treat,Intractable Pain
D009128,2599,clonidine,may_treat,Muscle Spasticity
D009293,2599,clonidine,may_treat,Opioid-Related Disorders
D012798,2599,clonidine,may_treat,Sialorrhea
D013375,2599,clonidine,may_treat,Substance Withdrawal Syndrome
D005879,2599,clonidine,may_treat,Tourette Syndrome
D001008,2603,clopamide,may_treat,Anxiety Disorders
D004342,2353,clorazepate,ci_with,Drug Hypersensitivity
D015812,2353,clorazepate,ci_with,"Glaucoma, Angle-Closure"
D000430,2353,clorazepate,may_treat,Alcohol Withdrawal Delirium
D001008,2353,clorazepate,may_treat,Anxiety Disorders
D004828,2353,clorazepate,may_treat,"Epilepsies, Partial"
D001008,2622,clotiazepam,may_treat,Anxiety Disorders
D003128,2626,clozapine,ci_with,Coma
D004342,2626,clozapine,ci_with,Drug Hypersensitivity
D004827,2626,clozapine,ci_with,Epilepsy
D009196,2626,clozapine,ci_with,Myeloproliferative Disorders
D009503,2626,clozapine,ci_with,Neutropenia
D001714,2626,clozapine,may_treat,Bipolar Disorder
D011618,2626,clozapine,may_treat,Psychotic Disorders
D012559,2626,clozapine,may_treat,Schizophrenia
D007706,2732215,copper histidinate,may_treat,Menkes Kinky Hair Syndrome
D000437,3007,cycloserine,ci_with,Alcoholism
D001007,3007,cycloserine,ci_with,Anxiety
D003863,3007,cycloserine,ci_with,Depression
D004342,3007,cycloserine,ci_with,Drug Hypersensitivity
D004827,3007,cycloserine,ci_with,Epilepsy
D011618,3007,cycloserine,ci_with,Psychotic Disorders
D014570,3007,cycloserine,ci_with,Urologic Diseases
D004927,3007,cycloserine,may_treat,Escherichia coli Infections
D005776,3007,cycloserine,may_treat,Gaucher Disease
D014376,3007,cycloserine,may_treat,Tuberculosis
D014552,3007,cycloserine,may_treat,Urinary Tract Infections
D004342,3013,cyproheptadine,ci_with,Drug Hypersensitivity
D016330,3013,cyproheptadine,ci_with,Frail Elderly
D017219,3013,cyproheptadine,ci_with,Gastric Outlet Obstruction
