class_id,class_name,depth,rxcui,generic_name,tty,rela
D003866,Depressive Disorder,2,42347,bupropion,IN,may_treat
D003866,Depressive Disorder,2,1827,buspirone,IN,may_treat
D003866,Depressive Disorder,2,2556,citalopram,IN,may_treat
D003866,Depressive Disorder,2,2597,clomipramine,IN,may_treat
D003866,Depressive Disorder,2,3247,desipramine,IN,may_treat
D003866,Depressive Disorder,2,734064,desvenlafaxine,IN,may_treat
D003866,Depressive Disorder,2,3332,dibenzepin,IN,may_treat
D003866,Depressive Disorder,2,3634,dothiepin,IN,may_treat
D003866,Depressive Disorder,2,3638,doxepin,IN,may_treat
D003866,Depressive Disorder,2,72625,duloxetine,IN,may_treat
D003866,Depressive Disorder,2,321988,escitalopram,IN,may_treat
D003866,Depressive Disorder,2,2119365,esketamine,IN,may_treat
D003866,Depressive Disorder,2,4493,fluoxetine,IN,may_treat
D003866,Depressive Disorder,2,42355,fluvoxamine,IN,may_treat
D003866,Depressive Disorder,2,2672253,gepirone,IN,may_treat
D003866,Depressive Disorder,2,5691,imipramine,IN,may_treat
D003866,Depressive Disorder,2,6011,isocarboxazid,IN,may_treat
D003866,Depressive Disorder,2,6026,isoflurane,IN,may_treat
D003866,Depressive Disorder,2,285228,kava preparation,IN,may_treat
D003866,Depressive Disorder,2,1433212,levomilnacipran,IN,may_treat
D003866,Depressive Disorder,2,6448,lithium,IN,may_treat
D003866,Depressive Disorder,2,746070,lithium aspartate,IN,may_treat
D003866,Depressive Disorder,2,42351,lithium carbonate,IN,may_treat
D003866,Depressive Disorder,2,52105,lithium citrate,IN,may_treat
D003866,Depressive Disorder,2,6470,lorazepam,IN,may_treat
D003866,Depressive Disorder,2,1040028,lurasidone,IN,may_treat
D003866,Depressive Disorder,2,6646,maprotiline,IN,may_treat
D003866,Depressive Disorder,2,6711,melatonin,IN,may_treat
D003866,Depressive Disorder,2,6901,methylphenidate,IN,may_treat
D003866,Depressive Disorder,2,588250,milnacipran,IN,may_treat
D003866,Depressive Disorder,2,15996,mirtazapine,IN,may_treat
D003866,Depressive Disorder,2,31565,nefazodone,IN,may_treat
D003866,Depressive Disorder,2,7531,nortriptyline,IN,may_treat
D003866,Depressive Disorder,2,679314,paliperidone,IN,may_treat
D003866,Depressive Disorder,2,32937,paroxetine,IN,may_treat
D003866,Depressive Disorder,2,8123,phenelzine,IN,may_treat
D003866,Depressive Disorder,2,8156,phenylalanine,IN,may_treat
D003866,Depressive Disorder,2,746741,pramipexole,IN,may_treat
D003866,Depressive Disorder,2,8886,protriptyline,IN,may_treat
D003866,Depressive Disorder,2,51272,quetiapine,IN,may_treat
D003866,Depressive Disorder,2,9639,selegiline,IN,may_treat
D003866,Depressive Disorder,2,36437,sertraline,IN,may_treat
D003866,Depressive Disorder,2,10355,temazepam,IN,may_treat
D003866,Depressive Disorder,2,10734,tranylcypromine,IN,may_treat
D003866,Depressive Disorder,2,10737,trazodone,IN,may_treat
D003866,Depressive Disorder,2,10834,trimipramine,IN,may_treat
D003866,Depressive Disorder,2,39786,venlafaxine,IN,may_treat
D003866,Depressive Disorder,2,1086769,vilazodone,IN,may_treat
D003866,Depressive Disorder,2,1455099,vortioxetine,IN,may_treat
D003866,Depressive Disorder,2,2669905,zuranolone,IN,may_treat
D061218,"Depressive Disorder, Treatment-Resistant",3,2119365,esketamine,IN,may_treat
D002658,Developmental Disabilities,2,2387302,oxybate,IN,ci_with
D006970,Disorders of Excessive Somnolence,4,2591497,daridorexant,IN,ci_with
D006970,Disorders of Excessive Somnolence,4,1547099,suvorexant,IN,ci_with
