disorder_icd11_code,disorder_title,symptom_icd11_code,matched_form,section,cddr_page
GA34.41   Premenstrual dysphoric disorder,GA34.41   Premenstrual dysphoric disorder,MG42,hypersomnia,Essential (required) features,261
GA34.41   Premenstrual dysphoric disorder,GA34.41   Premenstrual dysphoric disorder,MG43.1,overeating,Essential (required) features,261
General diagnostic requirements for amnestic disorder,General diagnostic requirements for amnestic disorder,MB21.12,transient global amnesia,Essential (required) features,612
General diagnostic requirements for catatonia,General diagnostic requirements for catatonia,MB20.0,stupor,Essential (required) features,202
General diagnostic requirements for catatonia,General diagnostic requirements for catatonia,MB23.9,echolalia,Essential (required) features,202
General diagnostic requirements for catatonia,General diagnostic requirements for catatonia,MB23.D,mutism,Essential (required) features,202
General diagnostic requirements for catatonia,General diagnostic requirements for catatonia,MB28.5,impulsivity,Essential (required) features,202
General diagnostic requirements for catatonia,General diagnostic requirements for catatonia,MB28.B,negativism,Essential (required) features,202
General diagnostic requirements for catatonia,General diagnostic requirements for catatonia,MB44.3,immobility,Essential (required) features,202
General diagnostic requirements for catatonia,General diagnostic requirements for catatonia,MC80.1,nonspecific low blood-pressure reading,Essential (required) features,202
General diagnostic requirements for catatonia,General diagnostic requirements for catatonia,MG26,fever of other or unknown origin,Essential (required) features,202
General diagnostic requirements for catatonia,General diagnostic requirements for catatonia,MG28,"hypothermia, not associated with low environmental temperature",Essential (required) features,202
General diagnostic requirements for delirium,General diagnostic requirements for delirium,MB24.1,anger,Additional clinical features,602
General diagnostic requirements for delirium,General diagnostic requirements for delirium,MB24.3,anxiety,Additional clinical features,602
General diagnostic requirements for delirium,General diagnostic requirements for delirium,MB24.4,apathy,Additional clinical features,602
General diagnostic requirements for delirium,General diagnostic requirements for delirium,MB24.5,depressed mood,Additional clinical features,602
General diagnostic requirements for delirium,General diagnostic requirements for delirium,MB24.9,euphoria,Additional clinical features,602
General diagnostic requirements for delirium,General diagnostic requirements for delirium,MB24.A,fear,Additional clinical features,602
General diagnostic requirements for delirium,General diagnostic requirements for delirium,MB24.C,irritability,Additional clinical features,602
General diagnostic requirements for delirium,General diagnostic requirements for delirium,MB24.F,restlessness,Additional clinical features,602
General diagnostic requirements for delirium,General diagnostic requirements for delirium,MB27.4,illusions,Additional clinical features,602
General diagnostic requirements for delirium,General diagnostic requirements for delirium,MB28.5,impulsivity,Additional clinical features,602
General diagnostic requirements for dementia,General diagnostic requirements for dementia,MB24.C,irritability,Essential (required) features,618
General diagnostic requirements for personality disorder,General diagnostic requirements for personality disorder,MB24.1,anger,Essential (required) features,554
Hypomanic episode,Hypomanic episode,MB21.5,distractibility,Essential (required) features,222
Hypomanic episode,Hypomanic episode,MB21.B,flight of ideas,Essential (required) features,222
Hypomanic episode,Hypomanic episode,MB22.4,increased energy,Essential (required) features,222
Hypomanic episode,Hypomanic episode,MB23.L,pressured speech,Essential (required) features,222
Hypomanic episode,Hypomanic episode,MB24.8,elevation of mood,Essential (required) features,222
Hypomanic episode,Hypomanic episode,MB24.C,irritability,Essential (required) features,222
Hypomanic episode,Hypomanic episode,MB25.1,flight of ideas,Essential (required) features,222
Hypomanic episode,Hypomanic episode,MB26.2,grandiosity,Essential (required) features,222
Hypomanic episode,Hypomanic episode,MG41,insomnia,Essential (required) features,222
Manic episode,Manic episode,MB21.5,distractibility,Essential (required) features,217
Manic episode,Manic episode,MB21.B,flight of ideas,Essential (required) features,217
Manic episode,Manic episode,MB22.4,increased energy,Essential (required) features,217
Manic episode,Manic episode,MB23.L,pressured speech,Essential (required) features,217
Manic episode,Manic episode,MB24.9,euphoria,Essential (required) features,217
