rxcui,generic_name,has_label,product_type,rela,condition_name,indications_and_usage,faers_side_effects
314875,"tocopheryl acid succinate,D-alpha",False,Supplement/Natural,ci_with,Drug Hypersensitivity,,
314875,"tocopheryl acid succinate,D-alpha",False,Supplement/Natural,may_prevent,"Alzheimer Disease; Anemia, Hemolytic; Bronchopulmonary Dysplasia; Dyskinesia, Drug-Induced; Vitamin E Deficiency",,
314875,"tocopheryl acid succinate,D-alpha",False,Supplement/Natural,may_treat,"Alzheimer Disease; Anemia, Hemolytic; Dyskinesia, Drug-Induced; Vitamin E Deficiency",,
38365,tofisopam,False,Non-US,may_treat,Anxiety Disorders; Substance Withdrawal Syndrome,,
1314420,tricaprylin,False,Combination ingredient,may_treat,Alzheimer Disease,,
10804,trifluperidol,False,Discontinued/Withdrawn,may_treat,Psychotic Disorders; Schizophrenia Spectrum and Other Psychotic Disorders,,
10805,triflupromazine,False,Discontinued/Withdrawn,ci_with,Drug Hypersensitivity; Reye Syndrome,,
10805,triflupromazine,False,Discontinued/Withdrawn,may_treat,Hiccup; Nausea; Pain; Psychotic Disorders; Vomiting,,
10825,trimeprazine,False,Discontinued/Withdrawn,ci_with,Bone Marrow Diseases; Coma; Drug Hypersensitivity; Infant; Lactation,,
10825,trimeprazine,False,Discontinued/Withdrawn,may_treat,"Dermatitis, Allergic Contact; Dermatitis, Atopic; Rhinitis, Allergic, Perennial; Urticaria",,
21406,ubidecarenone,True,HUMAN OTC DRUG,ci_with,Drug Hypersensitivity,Take 15 minutes before meals,
21406,ubidecarenone,True,HUMAN OTC DRUG,may_prevent,Drug-Related Side Effects and Adverse Reactions,Take 15 minutes before meals,
21406,ubidecarenone,True,HUMAN OTC DRUG,may_treat,"Angina Pectoris; Fatigue Syndrome, Chronic; Heart Failure; Huntington Disease; Hyperlipidemias; Hypertension",Take 15 minutes before meals,
253206,valerian root extract,False,Supplement/Natural,may_treat,Sleep Initiation and Maintenance Disorders,,
11248,vitamin B12,True,HUMAN PRESCRIPTION DRUG,ci_with,Drug Hypersensitivity,,
11248,vitamin B12,True,HUMAN PRESCRIPTION DRUG,may_prevent,Vitamin B 12 Deficiency,,
11248,vitamin B12,True,HUMAN PRESCRIPTION DRUG,may_treat,"Alcoholic Neuropathy; Anemia, Pernicious; Diabetic Neuropathies; Multiple Sclerosis",,
220982,yohimbine,False,Supplement/Natural,ci_with,Drug Hypersensitivity; Kidney Diseases,,
220982,yohimbine,False,Supplement/Natural,may_treat,Erectile Dysfunction; Miosis,,
