class_id,rxcui,generic_name,rela,condition_name
D000430,3322,diazepam,may_treat,Alcohol Withdrawal Delirium
D019973,3322,diazepam,may_treat,Alcohol-Related Disorders
D001008,3322,diazepam,may_treat,Anxiety Disorders
D016584,3322,diazepam,may_treat,Panic Disorder
D013375,3322,diazepam,may_treat,Substance Withdrawal Syndrome
D019966,3322,diazepam,may_treat,Substance-Related Disorders
D003866,3332,dibenzepin,may_treat,Depressive Disorder
D019964,3332,dibenzepin,may_treat,Mood Disorders
D019973,1598,dicumarol,ci_with,Alcohol-Related Disorders
D000437,1598,dicumarol,ci_with,Alcoholism
D019966,1598,dicumarol,ci_with,Substance-Related Disorders
D065886,3389,diethylpropion,ci_with,Neurodevelopmental Disorders
D015819,3389,diethylpropion,ci_with,"Substance Abuse, Intravenous"
D019966,3389,diethylpropion,ci_with,Substance-Related Disorders
D013981,3389,diethylpropion,ci_with,Tic Disorders
D005879,3389,diethylpropion,ci_with,Tourette Syndrome
D001008,3403,digitoxin,may_treat,Anxiety Disorders
D001008,3407,digoxin,may_treat,Anxiety Disorders
D000076064,203223,digoxin antibodies Fab fragments,may_prevent,Drug Misuse
D062787,203223,digoxin antibodies Fab fragments,may_prevent,Drug Overdose
D063487,203223,digoxin antibodies Fab fragments,may_prevent,Prescription Drug Misuse
D019966,203223,digoxin antibodies Fab fragments,may_prevent,Substance-Related Disorders
D000076064,203223,digoxin antibodies Fab fragments,may_treat,Drug Misuse
D062787,203223,digoxin antibodies Fab fragments,may_treat,Drug Overdose
D063487,203223,digoxin antibodies Fab fragments,may_treat,Prescription Drug Misuse
D019966,203223,digoxin antibodies Fab fragments,may_treat,Substance-Related Disorders
D011618,3415,dihydroergocornine,ci_with,Psychotic Disorders
D019967,3415,dihydroergocornine,ci_with,Schizophrenia Spectrum and Other Psychotic Disorders
D011618,3416,dihydroergocristine,ci_with,Psychotic Disorders
D019967,3416,dihydroergocristine,ci_with,Schizophrenia Spectrum and Other Psychotic Disorders
D011618,3417,dihydroergocryptine,ci_with,Psychotic Disorders
D019967,3417,dihydroergocryptine,ci_with,Schizophrenia Spectrum and Other Psychotic Disorders
D001008,3498,diphenhydramine,may_treat,Anxiety Disorders
D020920,3498,diphenhydramine,may_treat,Dyssomnias
D020919,3498,diphenhydramine,may_treat,"Sleep Disorders, Intrinsic"
D007319,3498,diphenhydramine,may_treat,Sleep Initiation and Maintenance Disorders
D012893,3498,diphenhydramine,may_treat,Sleep Wake Disorders
D011618,3554,disulfiram,ci_with,Psychotic Disorders
D019967,3554,disulfiram,ci_with,Schizophrenia Spectrum and Other Psychotic Disorders
D019973,3554,disulfiram,may_prevent,Alcohol-Related Disorders
D000437,3554,disulfiram,may_prevent,Alcoholism
D019966,3554,disulfiram,may_prevent,Substance-Related Disorders
D019973,3554,disulfiram,may_treat,Alcohol-Related Disorders
D000437,3554,disulfiram,may_treat,Alcoholism
D019966,3554,disulfiram,may_treat,Substance-Related Disorders
D000544,2687966,donanemab,may_treat,Alzheimer Disease
D003704,2687966,donanemab,may_treat,Dementia
D019965,2687966,donanemab,may_treat,Neurocognitive Disorders
D000544,135447,donepezil,may_treat,Alzheimer Disease
D003704,135447,donepezil,may_treat,Dementia
D019965,135447,donepezil,may_treat,Neurocognitive Disorders
D003866,3634,dothiepin,may_treat,Depressive Disorder
D019964,3634,dothiepin,may_treat,Mood Disorders
D019966,3637,doxapram,may_treat,Substance-Related Disorders
D001008,3638,doxepin,may_treat,Anxiety Disorders
D003866,3638,doxepin,may_treat,Depressive Disorder
D019964,3638,doxepin,may_treat,Mood Disorders
D020920,3642,doxylamine,may_treat,Dyssomnias
D020919,3642,doxylamine,may_treat,"Sleep Disorders, Intrinsic"
D007319,3642,doxylamine,may_treat,Sleep Initiation and Maintenance Disorders
D012893,3642,doxylamine,may_treat,Sleep Wake Disorders
D012559,10402,dronabinol,ci_with,Schizophrenia
D019967,10402,dronabinol,ci_with,Schizophrenia Spectrum and Other Psychotic Disorders
D011618,3648,droperidol,may_treat,Psychotic Disorders
D019967,3648,droperidol,may_treat,Schizophrenia Spectrum and Other Psychotic Disorders
D019966,11636,drospirenone,ci_with,Substance-Related Disorders
D014029,11636,drospirenone,ci_with,Tobacco Use Disorder
D001008,72625,duloxetine,may_treat,Anxiety Disorders
D003866,72625,duloxetine,may_treat,Depressive Disorder
D003865,72625,duloxetine,may_treat,Major Depressive Disorder
D019964,72625,duloxetine,may_treat,Mood Disorders
D000076064,3755,edetic acid,may_treat,Drug Misuse
D062787,3755,edetic acid,may_treat,Drug Overdose
D063487,3755,edetic acid,may_treat,Prescription Drug Misuse
D019966,3755,edetic acid,may_treat,Substance-Related Disorders
D008607,2612527,elivaldogene autotemcel,may_treat,Intellectual Disability
D019973,1653781,eluxadoline,ci_with,Alcohol-Related Disorders
D000437,1653781,eluxadoline,ci_with,Alcoholism
D019966,1653781,eluxadoline,ci_with,Substance-Related Disorders
D011618,4024,"ergoloid mesylates, USP",ci_with,Psychotic Disorders
D019967,4024,"ergoloid mesylates, USP",ci_with,Schizophrenia Spectrum and Other Psychotic Disorders
D003072,4024,"ergoloid mesylates, USP",may_treat,Cognition Disorders
D060825,4024,"ergoloid mesylates, USP",may_treat,Cognitive Dysfunction
D019965,4024,"ergoloid mesylates, USP",may_treat,Neurocognitive Disorders
D003866,321988,escitalopram,may_treat,Depressive Disorder
D003865,321988,escitalopram,may_treat,Major Depressive Disorder
D019964,321988,escitalopram,may_treat,Mood Disorders
D003866,2119365,esketamine,may_treat,Depressive Disorder
D061218,2119365,esketamine,may_treat,"Depressive Disorder, Treatment-Resistant"
D019964,2119365,esketamine,may_treat,Mood Disorders
D020920,4077,estazolam,may_treat,Dyssomnias
D020919,4077,estazolam,may_treat,"Sleep Disorders, Intrinsic"
D007319,4077,estazolam,may_treat,Sleep Initiation and Maintenance Disorders
D012893,4077,estazolam,may_treat,Sleep Wake Disorders
D020920,461016,eszopiclone,may_treat,Dyssomnias
D020919,461016,eszopiclone,may_treat,"Sleep Disorders, Intrinsic"
D007319,461016,eszopiclone,may_treat,Sleep Initiation and Maintenance Disorders
D012893,461016,eszopiclone,may_treat,Sleep Wake Disorders
D020920,4118,ethchlorvynol,may_treat,Dyssomnias
D020919,4118,ethchlorvynol,may_treat,"Sleep Disorders, Intrinsic"
D007319,4118,ethchlorvynol,may_treat,Sleep Initiation and Maintenance Disorders
D012893,4118,ethchlorvynol,may_treat,Sleep Wake Disorders
D020920,24474,ethinamate,may_treat,Dyssomnias
D020919,24474,ethinamate,may_treat,"Sleep Disorders, Intrinsic"
D007319,24474,ethinamate,may_treat,Sleep Initiation and Maintenance Disorders
D012893,24474,ethinamate,may_treat,Sleep Wake Disorders
D019966,14584,etonogestrel,ci_with,Substance-Related Disorders
D014029,14584,etonogestrel,ci_with,Tobacco Use Disorder
D012559,4328,fenfluramine,ci_with,Schizophrenia
D019967,4328,fenfluramine,ci_with,Schizophrenia Spectrum and Other Psychotic Disorders
D015819,4328,fenfluramine,ci_with,"Substance Abuse, Intravenous"
D019966,4328,fenfluramine,ci_with,Substance-Related Disorders
D000067877,4328,fenfluramine,may_treat,Autism Spectrum Disorder
D001321,4328,fenfluramine,may_treat,Autistic Disorder
D002659,4328,fenfluramine,may_treat,"Child Development Disorders, Pervasive"
D065886,4328,fenfluramine,may_treat,Neurodevelopmental Disorders
D020018,1665509,flibanserin,may_treat,"Sexual Dysfunctions, Psychological"
D000076064,4457,flumazenil,may_treat,Drug Misuse
D062787,4457,flumazenil,may_treat,Drug Overdose
D063487,4457,flumazenil,may_treat,Prescription Drug Misuse
D019966,4457,flumazenil,may_treat,Substance-Related Disorders
D020920,4460,flunitrazepam,may_treat,Dyssomnias
D020919,4460,flunitrazepam,may_treat,"Sleep Disorders, Intrinsic"
D007319,4460,flunitrazepam,may_treat,Sleep Initiation and Maintenance Disorders
D012893,4460,flunitrazepam,may_treat,Sleep Wake Disorders
D001008,4493,fluoxetine,may_treat,Anxiety Disorders
D003866,4493,fluoxetine,may_treat,Depressive Disorder
D003865,4493,fluoxetine,may_treat,Major Depressive Disorder
D019964,4493,fluoxetine,may_treat,Mood Disorders
D009771,4493,fluoxetine,may_treat,Obsessive-Compulsive Disorder
D016584,4493,fluoxetine,may_treat,Panic Disorder
D012559,4495,flupenthixol,may_treat,Schizophrenia
D019967,4495,flupenthixol,may_treat,Schizophrenia Spectrum and Other Psychotic Disorders
D003244,4496,fluphenazine,ci_with,Consciousness Disorders
D011618,4496,fluphenazine,may_treat,Psychotic Disorders
D012559,4496,fluphenazine,may_treat,Schizophrenia
D019967,4496,fluphenazine,may_treat,Schizophrenia Spectrum and Other Psychotic Disorders
