rxcui,generic_name,drug_class,atc_codes
61381,olanzapine,Antipsychotic,N05AH; N06CA
26225,ondansetron,Other,A04AA
1370971,ospemifene,Other,G03XC
7781,oxazepam,Anxiolytic,N05BA
2387302,oxybate,Other,N01AX; N07XX
2288236,ozanimod,Other,L04AE
679314,paliperidone,Antipsychotic,N05AX
7895,papaverine,Other,A03AD; G04BE
7909,paraldehyde,Sedative,N05CC
32937,paroxetine,Antidepressant,N06AB
7966,pemoline,Stimulant,N06BA
7974,penfluridol,Antipsychotic,N05AG
8013,pentoxifylline,Other,C04AD
8042,perazine,Antipsychotic,N05AB
8047,pergolide,Other,N04BC
8766,periciazine,Antipsychotic,N05AC
8076,perphenazine,Antipsychotic,N05AB; N06CA
33272,phendimetrazine,Other,A08AA
8123,phenelzine,Antidepressant,N06AF
8133,phenmetrazine,Other,
8150,phenprocoumon,Other,B01AA
8152,phentermine,Other,A08AA
8156,phenylalanine,Other,B05BA; V06DD
8331,pimozide,Antipsychotic,N05AG
33739,pipamperone,Antipsychotic,N05AD
8338,piperacetazine,Antipsychotic,
8348,pipothiazine,Antipsychotic,N05AC
2197878,pitolisant,Other,N07XX
34345,pralidoxime,Other,V03AB
746741,pramipexole,Other,
3143,prasterone,Other,A14AA; G03XX
8627,prazepam,Anxiolytic,N05BA
8701,procaine,Other,C05AD; N01BA; S01HA
8702,procarbazine,Other,L01XB
8704,prochlorperazine,Antipsychotic,N05AB
8742,promazine,Antipsychotic,N05AA
8745,promethazine,Other,D04AA; N02AB; N02BE; R01BA; R05DA; R06AD
8770,propiomazine,Sedative,N05CM
8782,propofol,Other,N01AX
8787,propranolol,Other,
8825,protamine sulfate (USP),Other,V03AB
8826,protamines,Other,V03AB
8886,protriptyline,Antidepressant,N06AA
35185,quazepam,Sedative,N05CD
51272,quetiapine,Antipsychotic,N05AH
9100,racemethionine,Other,N02BE
596205,ramelteon,Sedative,N05CH
60842,reboxetine,Antidepressant,N06AX
9260,reserpine,Other,C02AA; C02LA
35636,risperidone,Antipsychotic,N05AX
183379,rivastigmine,Anti-dementia,N06DA
616739,rotigotine,Other,N04BC
2559612,samidorphan,Antipsychotic,N05AH
9624,secobarbital,Sedative,N05CA; N05CB
9639,selegiline,Antidepressant,
2562176,serdexmethylphenidate,Stimulant,N06BA
41996,sertindole,Antipsychotic,N05AE
36437,sertraline,Antidepressant,N06AB
36514,sibutramine,Other,A08AA
136411,sildenafil,Other,G04BE
36676,sodium bicarbonate,Other,A02AF; A02AH; A02BC; A06AD; B05CB; B05XA; D04AX; N02BA; R01AX
56570,somatrem,Other,H01AC
